Fecha,SR10,SR920,SR899,SR900,SR901,SR902,SR903,SR904,SR905,SR906,SR907,SR908
01/01/1988,416305.2,33857.5,30211.5,11293.1,91239.9,15258.9,5000.4,96968.6,36184.3,37099.8,65065.7,-5874.5
01/01/1989,548858,45562.9,39024.6,11906.4,110228.5,19013.7,6678,125599.3,45950.4,61022.1,87157.1,-3285.1
01/01/1990,738897.5,62830.5,53056.9,15820.1,140608.5,26503.9,9195.7,167201.5,61450.5,89628.2,120352.1,-7750.3
01/01/1991,949147.6,80928.4,65329.4,16024.4,178728.6,35698.4,12933.1,201009.3,86563,118951.5,164169.6,-11188.1
01/01/1992,1125334.3,96329.7,68778.5,17959.4,208364.6,46371.9,16447.8,234755.5,97970.4,149021.4,212930.8,-23595.7
01/01/1993,1256196,101063.8,72702.9,16257.5,219934,55379,18326.5,251628.7,107480.1,183208.1,263922,-33706.7
01/01/1994,1420159.5,113857.9,74960.3,17441.7,245012.5,69145.8,19177.7,275679.3,124833,211497,311031,-42476.6
01/01/1995,1837019.1,158184.2,91899.3,29071.5,350155.6,68358.1,21331.4,351744.6,168082.9,308361.4,380044.3,-90214.2
01/01/1996,2525575,228900.5,139753.4,35754.8,494520.3,95474.6,26867.5,494293.2,233847.8,345234.4,487742.9,-56814.4
01/01/1997,3174275.2,301002.2,159168.3,43923.2,615478.4,128022,34340.1,613546.5,304347.5,384189.3,632585.5,-42327.9
01/01/1998,3846349.9,328568,183510.6,48423.5,749292.7,165012.5,44298.5,701090.1,381118.2,481761.9,798640.5,-35366.7
01/01/1999,4594724.2,387981.3,193803.1,60139.6,884331.3,207277.2,56553.9,840650.1,468656.7,555141.6,997200,-57010.5
01/01/2000,5491708.4,508190.7,201951.7,70177.8,1013597.6,258464.6,55892.4,1065627.5,556839.6,605499.2,1216551.8,-61084.5
01/01/2001,5809688.2,540034.6,216869.9,72499.9,1031217.6,270643,62481,1090164.5,595066.2,641709.7,1379774.2,-90772.2
01/01/2002,6263136.6,528490.8,222059.8,77206.5,1068602.8,292179.9,81881.1,1148997.4,611602.2,769221.5,1547672.4,-84777.7
01/01/2003,6891992.5,646445.5,239531.4,82512.1,1123213,326318.8,79601.3,1270885.7,645697.5,824535.9,1728287.6,-75036.3
01/01/2004,7709095.8,745037.2,267704.5,100703.6,1257053.6,380233.9,92699,1449270.4,725500,904356.2,1864912.2,-78375
